date,open,high,low,close,volume
2024-06-03,85.71,87.72,85.09,86.94,9941070.0
2024-06-04,86.94,88.06,86.09,87.85,4427667.0
2024-06-05,88,88.96,86.58,88.94,3443226.0
2024-06-06,88.42,88.95,87.91,88.16,2883789.0
2024-06-07,87.79,88.9986,87.5451,87.92,2380483.0
2024-06-10,87.82,87.9,86.47,87.15,3247564.0
2024-06-11,86.78,87.26,85.8901,87.11,2331928.0
2024-06-12,87.95,88.89,85.73,86.38,2674062.0
2024-06-13,86.38,88.065,85.58,87.73,2944188.0
2024-06-14,87,87.69,86.38,87.21,2857587.0
2024-06-17,90.19,91.85,88.07,91.26,5237664.0
2024-06-18,91.25,93.72,90.82,93.63,5575901.0
2024-06-20,92.3,92.73,91.44,92.37,3586551.0
2024-06-21,92.32,92.5152,90.19,90.4,7165835.0
2024-06-24,90.76,91,89.3,89.33,2308871.0
2024-06-25,89.09,89.2,86.02,86.52,3942141.0
2024-06-26,86.24,86.38,83.92,84.26,3970071.0
2024-06-27,83.96,84.5,83.22,84.32,2392820.0
2024-06-28,84.1,85.19,83.82,84.29,3627853.0
2024-07-01,84.32,84.65,82.1475,82.29,2571900.0
2024-07-02,81.55,82.21,80.53,82.17,3112437.0
2024-07-03,82.9,83.74,82.21,82.33,1471263.0
2024-07-05,82.3,82.78,81.63,82.45,3627790.0
2024-07-08,83.02,86.43,83.02,85.51,4763097.0
2024-07-09,85.84,86.81,85.47,86.42,3608898.0
2024-07-10,87.5,87.88,85.1026,85.57,3623267.0
2024-07-11,86.36,87.99,85.58,86.01,2738426.0
2024-07-12,86.42,87.31,85.91,86.27,2423799.0
2024-07-15,85.79,86.425,85.2,85.5,2442128.0
2024-07-16,86.11,87.84,85.59,87.25,2590056.0
2024-07-17,86.32,89.73,86.13,89.16,3977372.0
2024-07-18,88.74,90.57,87.871,88.1,3610439.0
2024-07-19,88.25,89.02,87.72,88.6,3024049.0
2024-07-22,89.34,89.34,86.785,88.96,3756922.0
2024-07-23,88.46,89.48,88.04,88.95,2589706.0
2024-07-24,88.95,89.04,86.96,87.73,2586525.0
2024-07-25,87.43,88.49,87.12,87.35,1823888.0
2024-07-26,88.1,88.7,86.7781,87.35,1734759.0
2024-07-29,87.42,87.74,84.77,85.48,2973776.0
2024-07-30,85.48,86.11,84.4801,85.35,2326480.0
2024-07-31,85.4,87.319,84.84,86.52,5801862.0
2024-08-01,86.74,87.4,84.33,85.67,2521174.0
2024-08-02,84,84.16,81.89,82.36,2875392.0
2024-08-05,79.5,80.8146,78.55,80.23,3048361.0
2024-08-06,80.59,82.45,79.82,82,2871855.0
2024-08-07,82.93,83.7,80.62,80.7,2055702.0
2024-08-08,81.07,82.67,80.93,82.56,1688543.0
2024-08-09,82.48,83.79,81.93,83.73,1679514.0
2024-08-12,82.8,83.25,81.06,81.2,2493329.0
2024-08-13,81.78,83.84,81.75,83.14,2111552.0
2024-08-14,83.88,84.1633,82.54,82.91,1403600.0
2024-08-15,85.85,86.35,83.845,84.06,2300821.0
2024-08-16,84.03,85.35,83.82,85.24,1919730.0
2024-08-19,85.02,85.89,84.3,85.04,1464097.0
2024-08-20,84.64,85.23,84.2,84.74,1193675.0
2024-08-21,86,87.07,85.64,87.04,1902262.0
2024-08-22,86.39,86.7475,85.3,85.75,2184244.0
2024-08-23,86.29,88.26,86.1,88.15,2067168.0
2024-08-26,88.43,89.67,87.79,88.89,3658613.0
2024-08-27,88.07,89.47,87.7201,88.88,2838897.0
2024-08-28,87.58,88.86,87.32,87.79,4293729.0
2024-08-29,102.65,103.71,97.65,100.18,12091229.0
2024-08-30,100.77,102.1,98.86,100.4,5553076.0
2024-09-03,100,102.76,99.7,100.94,3501366.0
2024-09-04,100.65,101.03,99.055,99.96,3301861.0
2024-09-05,100.22,101.01,98.91,99.41,1965398.0
2024-09-06,99.3,100.4258,98.02,98.5,2463218.0
2024-09-09,98.78,99.18,97.29,98.09,3263725.0
2024-09-10,97.72,97.785,95.415,96.37,3651746.0
2024-09-11,96.07,97.72,94.83,97.6,3063175.0
2024-09-12,97.35,98.42,96.49,97.75,1957358.0
2024-09-13,98.51,99.46,97.97,98.45,1942976.0
2024-09-16,98.75,99.14,97.09,98.79,2617815.0
2024-09-17,99.37,100.28,99.01,99.48,2128074.0
2024-09-18,99.5,100.36,98.81,99.07,2319243.0
2024-09-19,99.46,100.94,98.265,98.46,2897367.0
2024-09-20,98.37,98.5,96.7701,97.3,3241760.0
2024-09-23,97.87,98.23,96.7,97.86,2079147.0
2024-09-24,98.22,99,97.85,98.98,2047249.0
2024-09-25,98.8,98.805,97.57,97.84,2147002.0
2024-09-26,98.56,100.1832,98.24,100,2839739.0
2024-09-27,101.41,102.66,100.81,102.26,4033504.0
2024-09-30,102.56,103.48,102.24,103.3,2807317.0
2024-10-01,102.62,103.1,100.3,101.35,2375673.0
2024-10-02,100.62,101.42,99.32,99.71,1782655.0
2024-10-03,98.91,99.26,96.6,98.19,3608278.0
2024-10-04,99.21,101.04,98.66,99.61,2171504.0
2024-10-07,99.81,100.085,96.85,97.82,3012531.0
2024-10-08,97.72,98.81,97.59,98.33,1988663.0
2024-10-09,98.2,98.72,97.57,98.64,1689926.0
2024-10-10,97.89,98.33,96.73,97.52,1981153.0
2024-10-11,97.57,98.79,97.045,97.44,2137664.0
2024-10-14,96.62,97.05,95.45,96.91,2321480.0
2024-10-15,97.15,99.38,97.13,97.57,2369590.0
2024-10-16,98.24,99.8,97.855,98.68,2454411.0
2024-10-17,99,99.0005,96.09,96.28,2392945.0
2024-10-18,96.51,96.77,95.97,96.14,1864675.0
2024-10-21,95.96,96.3075,92.94,93.17,2323444.0
2024-10-22,92.8,93.87,91.86,93.77,2032925.0
2024-10-23,93.31,93.96,92.6,93.35,1497828.0
2024-10-24,93.59,94.23,93,94.12,1324498.0
2024-10-25,94.12,94.5,92.155,92.68,2023236.0
2024-10-28,93.25,93.97,91.51,91.54,2197779.0
2024-10-29,90.67,91.19,89.21,89.97,3407992.0
2024-10-30,89.98,91.3156,89.57,90.41,2201720.0
2024-10-31,89.95,90.72,89.3,90.43,2670412.0
2024-11-01,90.53,91.56,90.22,90.9,1975668.0
2024-11-04,91.31,94.18,91.225,92.82,2585508.0
2024-11-05,91.76,92.84,91.08,92.84,2260635.0
2024-11-06,88.87,90,85.81,89.4,4943185.0
2024-11-07,89.97,91.535,89.74,90.11,2453515.0
2024-11-08,90.78,90.8467,88.33,89.2,2631707.0
2024-11-11,89.16,90.06,88.19,89.29,2609217.0
2024-11-12,89.68,91.24,89.09,90.2,2773637.0
2024-11-13,90.75,91.71,90.195,90.7,2452045.0
2024-11-14,90.87,92.7,90.5,91.58,2669920.0
2024-11-15,91.77,92.97,91.74,92.66,3766490.0
2024-11-18,92.93,92.93,88.9,89,3501453.0
2024-11-19,87.74,87.91,86.1,87.02,2880064.0
2024-11-20,85.96,87.46,85.31,86.77,4051926.0
2024-11-21,86.8,87.875,86.11,86.51,3295315.0
2024-11-22,87.36,90.22,87,89.54,4553058.0
2024-11-25,92.88,95.49,91.97,93.03,8716813.0
2024-11-26,86.56,88.9,83.81,88.48,10598099.0
2024-11-27,88.48,89.88,87.06,88.17,4011994.0
2024-11-29,89.28,91.07,89.0459,90,2411691.0
2024-12-02,90.22,91.72,88.605,90.93,4253229.0
