date,open,high,low,close,volume
2024-06-03,137.43,138,134.89,137.12,2002780.0
2024-06-04,135.47,136.55,133.71,134.48,1942771.0
2024-06-05,134.82,135.68,133.54,135.48,2226520.0
2024-06-06,136.57,138.62,135.865,136.37,2383919.0
2024-06-07,135.69,141,135.29,139.8,2835943.0
2024-06-10,138.81,141.18,138.32,140.9,2544384.0
2024-06-11,140.16,140.4,134.55,135.14,2436130.0
2024-06-12,137.28,138.9927,136.17,137.1,2240488.0
2024-06-13,136.31,136.68,134.29,135.09,1895977.0
2024-06-14,134.03,135.25,133.3006,133.7,2612963.0
2024-06-17,133.79,137.355,133.5,137.1,2054456.0
2024-06-18,137.01,138.21,136.77,137.34,1399643.0
2024-06-20,137.82,138.15,135.84,138.13,1811775.0
2024-06-21,137,137.77,135.21,136.77,3152706.0
2024-06-24,137.04,139.11,135.63,137.68,1749027.0
2024-06-25,137.15,137.65,134.76,134.86,1744110.0
2024-06-26,133.71,136.94,133.08,136.77,2834194.0
2024-06-27,136.03,136.24,132.9236,134.03,3535201.0
2024-06-28,135.39,138.79,134.662,138.45,4959929.0
2024-07-01,138.8,141.8,138.45,139.7,3081255.0
2024-07-02,139.64,140.52,138.725,140.48,2019978.0
2024-07-03,140.27,140.67,138,138.42,1805381.0
2024-07-05,138.38,138.735,135.88,136,2622569.0
2024-07-08,137.22,138.06,135.5,135.81,2298779.0
2024-07-09,135.81,138.93,135.36,136.99,2575901.0
2024-07-10,136.19,137,135.41,136.61,1665959.0
2024-07-11,137.05,139.07,136.56,138.99,1803761.0
2024-07-12,139.12,139.47,137.498,138.41,1680176.0
2024-07-15,140.82,144.64,140.21,144.61,3018249.0
2024-07-16,144.64,149.59,144.19,149.56,3796875.0
2024-07-17,148.87,151.34,147.44,149.47,2931451.0
2024-07-18,151.77,153.35,147.69,148.72,3936943.0
2024-07-19,148.92,149.12,146.3,147.27,2564721.0
2024-07-22,146.21,147.32,144.5,145.11,3257199.0
2024-07-23,145.26,147.46,144.84,145.5,3686332.0
