date,open,high,low,close,volume
2024-06-03,111,111.4381,108.29,109.34,5068250.0
2024-06-04,108.44,110.21,107.3,108.84,4575240.0
2024-06-05,110,110.6395,108.0675,110.48,4473335.0
2024-06-06,110.48,112.8,109.5,109.62,2450095.0
2024-06-07,109.44,110.79,107.83,109.47,4034030.0
2024-06-10,109,113.94,108.99,112.99,3280849.0
2024-06-11,113.39,114.98,112.55,114.9,4775487.0
2024-06-12,117.26,120.32,116.7,119.11,5458876.0
2024-06-13,120.42,121.27,118.82,119.54,5067418.0
2024-06-14,118.5,118.8,115.74,117.84,3618892.0
2024-06-17,117.06,118.16,114.691,117.17,3645562.0
2024-06-18,117,118,116.05,116.5,2474640.0
2024-06-20,116.18,116.3,114.68,116.08,3275523.0
2024-06-21,117.24,117.95,115.93,117.57,4956288.0
2024-06-24,116.7,120.23,116.6,118.49,2297174.0
2024-06-25,119.04,120.1399,118.18,119.13,3228888.0
2024-06-26,118.81,124.165,118.3,123.19,3964944.0
2024-06-27,123.19,128.88,122.65,128.45,4411402.0
2024-06-28,129.89,131.1292,128.3,129.69,7170825.0
2024-07-01,129.04,131.99,127.96,130.5,3938228.0
2024-07-02,130.09,132.36,129.88,131.75,2847214.0
2024-07-03,130.83,133.15,130.83,131.5,1773639.0
2024-07-05,131,134.8,130.75,134.56,2535002.0
2024-07-08,131.58,132.81,129.07,132.4,3769869.0
2024-07-09,131.7,131.7,125.35,126.63,4834613.0
2024-07-10,127.55,128.14,123.91,126.29,2717646.0
2024-07-11,126.41,129.71,125.8,127.19,4175217.0
2024-07-12,126.99,128.85,125.09,127.8,2863667.0
2024-07-15,129.375,130.5979,126.17,129.415,2503284.0
2024-07-16,131.5,131.65,129.31,130.77,3156854.0
2024-07-17,123.5,125.07,120.25,121.16,6842693.0
2024-07-18,121.7,123.21,117.86,118.82,3699221.0
2024-07-19,118.58,120.52,118.205,119.03,2538558.0
2024-07-22,119.57,122.57,119.49,121.22,3191080.0
2024-07-23,121.82,125.35,121.78,123.21,2344705.0
2024-07-24,121.87,123.01,117.24,117.32,3574603.0
2024-07-25,118.27,121.99,116.51,120.31,3478573.0
2024-07-26,121.43,121.46,117.52,118.31,3762124.0
2024-07-29,119,119.95,117.41,117.92,2165116.0
2024-07-30,117.87,117.94,113.58,114.68,4164319.0
2024-07-31,115.5,117.89,114.84,116.44,3334293.0
2024-08-01,115.01,116.69,111.31,113.1,4260441.0
2024-08-02,109.89,109.92,106.2,107.25,5247345.0
2024-08-05,99.93,106.23,98.8,104.97,5975846.0
2024-08-06,105.64,107.22,103.51,105.47,4622974.0
2024-08-07,108.7,111.25,107.27,108.04,7819154.0
2024-08-08,115.08,118.07,111.02,114.06,9762990.0
2024-08-09,113.74,115.45,110.63,112.28,4503014.0
2024-08-12,113.05,113.2,110.1,112.16,3557639.0
2024-08-13,112.21,115.0152,112.21,114.37,2816177.0
2024-08-14,114.81,115.35,113.27,114.15,2803844.0
2024-08-15,115.43,118.4,115.14,116.33,3846572.0
2024-08-16,116.24,116.42,114.77,114.98,2197923.0
2024-08-19,115.34,117.25,114.13,117.21,1872537.0
2024-08-20,116.7,117.51,115.74,116.1,1834409.0
2024-08-21,116.51,117.79,115.97,117.74,2223537.0
2024-08-22,117.5,118.72,115.53,115.62,2419149.0
2024-08-23,117,117.665,115.48,117.23,1926176.0
2024-08-26,116.42,117.59,116.21,116.74,1388786.0
2024-08-27,116.25,116.96,115.53,116.02,1284924.0
2024-08-28,115.5,116.49,112.26,113.42,1797633.0
2024-08-29,115.28,116.89,114.45,115.18,2328834.0
2024-08-30,117.22,117.97,114.66,116.26,2436585.0
2024-09-03,114.87,115.501,111.1,111.48,3355767.0
2024-09-04,110.77,111.4,108.54,108.65,3536775.0
2024-09-05,108.01,110.5,108,110.09,2701582.0
2024-09-06,109.87,110.9685,105.44,107.2,3311255.0
2024-09-09,108.27,109.02,106.74,107.7,2720517.0
2024-09-10,108.46,110.2,107.02,108.12,2365271.0
2024-09-11,108.41,109.66,107.145,109.52,4320113.0
2024-09-12,110,110.92,109.2001,109.63,2553092.0
2024-09-13,109.56,110.9,108.79,109.26,3142972.0
2024-09-16,109.16,111.59,108.35,111.4,3670739.0
2024-09-17,112.3,113.65,111.45,111.93,2419994.0
2024-09-18,111.72,114.935,111.5,113.18,2779323.0
2024-09-19,115.86,116.635,114.91,115.52,3133119.0
2024-09-20,115.18,115.62,113.91,114.76,2830140.0
2024-09-23,115.01,116.67,114.9001,116.22,1917945.0
2024-09-24,116.58,118.38,115.66,117.31,2546010.0
2024-09-25,116.63,117.5,115.56,116.01,2546109.0
2024-09-26,118.2,118.23,113.1,114.21,2344306.0
2024-09-27,115.13,115.18,113.4584,114.2,2288668.0
2024-09-30,114.2,115.32,113.86,115.06,1563471.0
2024-10-01,117.45,117.75,113.08,113.98,2783517.0
